You got the Black Hole Generator! (Slot 8),GOTBLACKHOLE,,,,Вы нашли Генератор Чёрных Дыр! (Слот 8),¡Obtuviste el Generador de Agujeros Negros! (Slot 8),,,Zdobyłeś generator czarnych dziur! (Slot 8),Hai raccolto il Generatore di Buchi Neri! (Slot 8),,あなたはブラックホールジェネレータを手に入れました！ （スロット8）,Го најде Генераторот за создавање Црни Дупки! (Слот 8),,,,您拾起黑洞生產器!（鍵盤 8）
%o got vaporized by %k's Black Hole Generator.,BLACKHOLEOBITUARY,,,,%o был испарен Генератором Чёрных Дыр игрока %k,%o fue vaporizado por el Generador de Agujeros Negros de %k.,,,%o został zewaporyzowany generatorem czarnych dziur %k.,%o è stato vaporizzato dal Generatore di Buchi Neri di %k.,,％oは％kのブラックホールジェネレータによって気化しました。,% o е испарен од Генераторот на %k.,,,%o got vapourized by %k's Black Hole Generator.,%o 被 %k 用黑洞生產器人間蒸化。
You got the BFG Prototype Beam 11K! (Slot 8),GOTBFG11K,,,,Вы нашли BFG Prototype Beam 11K! (Слот 8),¡Obtuviste el Prototipo BFG de Rayos 11mil! (Slot 8),,,Zdobyłeś prototypowy promień BFG 11K! (Slot 8),Hai raccolto il Prototipo di Raggio BFG 11K! (Slot 8),,あなたはBFGプロトタイプビーム11Kを手に入れました！ （スロット8）,Го најде BFG Prototype Beam 11K! (Слот 8),,,,您拾起 BFG Prototype Beam 11K!（鍵盤 8）
%o was vaporized by %k's plasma beam.,BFG11KOBITUARY,,,,%o был испарен плазменным лучом игрока %k,%o fue vaporizado por el Rayo Plasma de %k.,,,%o został zewaporyzowany promieniem plazmy %k.,%o è stato vaporizzato da un raggio al plasma di %k.,,％oは％kのプラズマビームによって蒸発させられました。,% o беше испечен од плазмата на %k.,,,%o was vapourized by %k's plasma beam.,%o 被 %k 用等離子體人間蒸化。
"You got the sinister Unmaker, the penultimate wrath of Hell itself. (Slot 9)",GOTUNMAKER,,,,"Вы подобрали зловещий Разрушитель, предпоследнюю ярость Ада. (Слот 9)","Obtuviste el siniestro Deshacedor, la penúltima ira de l mismo infierno. (Slot 9)",,,"Zdobyłeś Unicestwiacz, wcielony piekielny gniew! (Slot 9)","Hai raccolto il sinistro Decostruttore, la penultima furia dell'inferno stesso. (Slot 9)",,あなたは罪人作り出さない、地獄の最後から二番目の怒りそのものを手に入れた。 （スロット9）,"Го најде Деконструктурот, претпоследниот гнев на самиот Пекол. (Слот 9)",,,,您拾起險惡的消除器，地獄其中最強幽靈。（鍵盤 9）
Picked up a medipack.,GOTMEDIPACK,,,,Вы подобрали большую аптечку.,Agarraste un paquete médico.,,,Podniosłeś apteczkę.,Hai raccolto un medipack.,,メディパックを手に入れた。,Подигна лесна прва медицинска помош.,,,,拾起一個大急救箱。
Picked up a medipack that you REALLY need!,GOTMEDIPACKLOWHEALTH,,,,Вы подобрали большую аптечку в которой ОЧЕНЬ нуждались!,¡Agarraste un paquete médico que REALMENTE necesitabas!,,,Podniosłeś apteczkę której BARDZO potrzebowałeś!,Hai raccolto un medipack che DAVVERO ti serviva!,,本当に必要なメディパックを手に入れました！,Подигна медицинска помош што навистина ти е потребна!,,,,拾起您真正需要的大急救箱！
You got the Autoshotgun Upgrade!!!,GOTAUTOSGUPGRADE,,,,Вы нашли улучшение для автоматического дробовика!!!,¡Obtuviste la mejora de la Escopeta Automática!,,,Zdobyłeś ulepszenie strzelby automatycznej!,Hai raccolto l'upgrade per il Fucile Automatico!!!,,あなたはオートショットガンアップグレードを手に入れました！,Ја пронајде надградбата за Автоматската сачмарка !!!,,,,您拾起自動霰彈槍改裝！
You've found the Auto Shotgun! (Slot 3),GOTAUTOSG,,,,Вы нашли автоматический дробовик! (Слот 3),¡Encontraste la Escopeta Automatica! (Slot 3),,,Zdobyłeś strzelbę automatyczną! (Slot 3),Hai raccolto il Fucile Automatico! (Slot 3),,あなたは自動散弾銃を見つけました！ （スロット3）,Ја најде Автоматската Сачмарка! (Слот 3),,,,您拾起自動霰彈槍！（鍵盤 3）
Picked up a Magazine.,GOTCLIP,,,,Вы подобрали магазин.,Agarraste un Magazine.,,,Podniosłeś magazynek.,Hai raccolto un Caricatore,,あなたは雑誌を拾いました。,Подигна амуниција.,,,,拾起一個彈匣。
Picked up a Special Grenade.,GOTSPCGRENADEAMMO,,,,Вы подобрали специальную гранату.,Agarraste una Granada Especial.,,,Podniosłeś specjalny granat.,Hai raccolto una Granata Speciale.,,あなたは特殊手榴弾を手に入れた。,Подигна специјална граната.,,,,拾起一個特殊手榴彈。
Picked up a Case of Special Grenades.,GOTSPCGRENADEAMMOS,,,,Вы подобрали ящик специальных гранат.,Agarraste una Caja de Granadas Especiales.,,,Podniosłeś pudło specjalnych granatów.,Hai raccolto una Cassa di Granate Speciali,,あなたは特殊手榴弾のケースを拾った。,Подигна кутија со специјални гранати.,,,,拾起一箱特殊手榴彈。
Picked up a Small Caliber Cartridge.,GOTLOWCALCLIP,,,,Вы подобрали мелкокалиберный магазин.,Agarraste un Cartucho de Calibre.Pequeño.,,,Podniosłeś magazynek małego kalibru.,Hai raccolto un Caricatore di Piccolo Calibro,,あなたはスモールキャリバーカートリッジを拾いました。,Подигна мала кутија на калибар куршуми.,,,Picked up a small calibre cartridge.,拾起一個低口徑槍彈。
Picked up a Box of Low Caliber rounds.,GOTLOWCALIBERCLIPS,,,,Вы подобрали коробку мелкокалиберных патронов.,Agarraste una Caja de Cartuchos de Calibre Bajo.,,,Podniosłeś pudło naboji niskiego kalibru.,Hai raccolto una Scatola di munizioni di Piccolo Calibro,,あなたは低口径ラウンドの箱を拾った。,Подигна кутија со слаб вид на калибар куршуми.,,,Picked up a box of low calibre rounds.,拾起一箱低口徑子彈。
Picked up a Large Case of Low Caliber rounds.,GOTLLARGELOWCALIBERCLIPS,,,,Вы подобрали ящик мелкокалиберных патронов.,Agarraste una Caja Grande de Cartuchos de Calibre Bajo.,,,Podniosłeś duże pudło amunicji niskiego kalibru.,Hai raccolto una Cassa Grande di munizioni di Piccolo Calibro,,あなたは低口径ラウンドの大ケースを拾った。,Подигна голема кутија со слаб вид на калибар амуниција.,,,Picked up a large case of low calibre rounds.,拾起一大箱低口徑子彈。
Picked up a High Caliber Magazine,GOTNORMALCLIP,,,,Вы подобрали крупнокалиберный магазин.,Agarraste un Magazine de Alto Calibre.,,,Podniosłeś magazynek wysokiego kalibru.,Hai raccolto un Caricatore di Grosso Calibro,,あなたはハイキャリバーマガジンをピックアップしました。,Подигна амуниција со силен вид на калибар куршуми.,,,Picked up a high calibre magazine.,拾起一個高口徑彈匣。
Picked up a Box of High Caliber Bullets.,GOTNORMALCLIPS,,,,Вы подобрали коробку крупнокалиберных патронов.,Agarraste una Caja de Balas de Alto Calibre.,,,Podniosłeś pudło naboji wysokiego kalibru.,Hai raccolto una Scatola di Proiettili di Grosso Calibro,,あなたは高い口径の弾丸の箱を拾った。,Подигна кутија со силен вид на калибар куршуми.,,,Picked up a box of high calibre bullets.,拾起一箱高口徑子彈。
Picked up a Single Excavator Charge.,GOTEXCAVATORAMMO,,,,Вы подобрали заряд для Землекопа.,Agarraste una sola Carga del Excavador.,,,Podniosłeś pojedynczy ładunek do Ekskawatora.,Hai raccolto una Carica Singola per l'Escavatore,,あなたは掘削機の弾薬を拾った。,Подигна надоместок за Багерот.,,,,拾起一個挖掘槍彈塊。
Picked up a box of Excavator Charges,GOTEXCAVATORAMMOS,,,,Вы подобрали коробку зарядов для Землекопа.,Agarraste una Caja de Cargas del Excavador.,,,Podniosłeś pudło z ładunkami do Ekskawatora.,Hai raccolto una Scatola di Cariche per l'Escavatore,,あなたは掘削機の弾薬箱を拾った。,Подигна кутија со надоместоци за Багерот.,,,,拾起一箱挖掘槍彈塊。
Found an advanced COMBAT BACKPACK stuffed with ammo!,GOTADVBACKPACK,,,,Вы нашли улучшенный Боевой Рюкзак набитый патронами!,¡Encontraste una MOCHILA DE COMBATE Avanzada llena de munición!,,,Zdobyłeś zaawansowany plecak bojowy wypełniony amunicją!,Hai raccolto uno ZAINO DA COMBATTIMENTO pieno di munizioni!,,あなたは弾薬を詰め込んだ高度なコンバットバックパックを見つけました！,Го пронајде напредниот ВОЕН РАНЕЦ полн со муниција!,,,,找到一個堆滿彈藥的高級戰鬥背囊！
You got the Pump Shotgun! (Slot 3),GOTSHOTGUN,,,,Вы подобрали помповый дробовик! (Слот 3),¡Obtuviste la Escopeta! (Slot 3),,,,Hai raccolto il Fucile a Pompa! (Slot 3),,あなたは散弾銃を手に入れた！ （スロット3）,Ја најде сачмарката! (Слот 3),,,,您拾起泵動式霰彈槍！（鍵盤 3）
The recommended difficulty for the dead. Press Y to Continue or N to Select Other Skill.,EASYHARDSELECT,,,,Рекомендуемая сложность для мертвецов. Нажмите Y для продолжения или N для выбора другой сложности.,La dificultad recomendada para el muerto. Presiona Y para continuar o N para seleccionar otra dificultad.,,,,La difficoltà raccomandata per i morti. Premi Y per continuare o N per scegliere un'altro livello di difficoltà.,,死者のための推奨難易度。続行するにはYを、その他のスキルを選択するにはNを押します。,Препорачаната тежина за мртвите. Притисни Y за да продолжиш или N за да одбереш друга тежина.,,,,適合死人的難度。按 Y 繼續或 N 去選擇其他難度。
The recommended difficulty for kids. Press Y to Continue or N to Select Other Skill.,EASYSELECT,,,,Рекомендуемая сложность для детей. Нажмите Y для продолжения или N для выбора другой сложности.,La dificultad recomendada para niños. Presiona Y para continuar o N para seleccionar otra dificultad.,,,,La difficoltà raccomandata per i bambini. Premi Y per continuare o N per scegliere un'altro livello di difficoltà.,,子供のための推奨難易度。続行するにはYを、その他のスキルを選択するにはNを押します。,Препорачаната тежина за деца. Притисни Y за да продолжиш или N за да одбереш друга тежина.,,,,適合小朋友的難度。按 Y 繼續或 N 去選擇其他難度。
The recommended difficulty for newcomers to Project Brutality. Press Y to Continue or N to Select Other Skill.,EASYNORMALSELECT,,,,Рекомендуемая сложность для новичков в Проекте Брутальности. Нажмите Y для продолжения или N для выбора другой сложности.,La dificultad recomendada para los nuevos en Projecto Brutalidad. Presiona Y para continuar o N para seleccionar otra dificultad.,,,,La difficoltà raccomandata per gli inesperti in Project Brutality. Premi Y per continuare o N per scegliere un'altro livello di difficoltà.,,Project Brutalityの初心者に推奨される難易度。続行するにはYを、その他のスキルを選択するにはNを押します。,Препорачаната тежина за новодојденците на Project Brutality. Притисни Y за да продолжиш или N за да одбереш друга тежина.,,,,適合新玩 Project Brutality 的難度。按 Y 繼續或 N 去選擇其他難度。
The true Project Brutality experience. Press Y to Continue or N to Select Other Skill.,NORMALSELECT,,,,Истинный опыт в Проекте Брутальности. Нажмите Y для продолжения или N для выбора другой сложности.,La verdadera experiencia Projecto Brutalidad. Presiona Y para continuar o N para seleccionar otra dificultad.,,,,L'autentica esperienza targata Project Brutality. Premi Y per continuare o N per scegliere un'altro livello di difficoltà.,,真のプロジェクト残虐行為の実験続行するにはYを、その他のスキルを選択するにはNを押します。,Вистинското искуство на Project Brutality. Притисни Y за да продолжиш или N за да одбереш друга тежина. ,,,,真正 Project Brutality 體驗。按 Y 繼續或 N 去選擇其他難度。
"Your enemies are significantly more aggressive, inflict more damage, and are very proficient. Press Y to Continue or N to Select Other Skill.",HARDSELECT,,,,"Враги более агрессивны, наносят больше урона и очень опытны. Нажмите Y для продолжения или N для выбора другой сложности.","Tus enemigos son significativamente más agresivos, infligen más daño y son muy proeficientes. Presiona Y para continuar o N para seleccionar otra dificultad.",,,,"I nemici sono parecchio più aggressivi, infliggono più danni e sono molto abili. Premi Y per continuare o N per scegliere un'altro livello di difficoltà.",,あなたの敵はかなり攻撃的で、もっと多くのダメージを与え、そして非常に熟練しています。続行するにはYを、その他のスキルを選択するにはNを押します。,"Твоите непријатели се позначително поагресивни, нанесуваат повеќе штета, и се исто така доста умешни. Притисни Y за да продолжиш или N за да одбереш друга тежина.",,,,您的敵人明顯地更粗暴，更大殺傷力，同更精英。按 Y 繼續或 N 去選擇其他難度。
Your enemies are significantly faster. Press Y to Continue or N to Select Other Skill.,VERYHARDSELECT,,,,Враги будут значительно быстрее. Нажмите Y для продолжения или N для выбора другой сложности.,Tus enemigos son relativamente más rápidos. Presiona Y para continuar o N para seleccionar otra dificultad.,,,,I nemici sono parecchio più veloci. Premi Y per continuare o N per scegliere un'altro livello di difficoltà.,,あなたの敵はかなり速いです続行するにはYを、その他のスキルを選択するにはNを押します。,Твоите непријатели се позначително побрзи. Притисни Y за да продолжиш или N за да одбереш друга тежина.,,,,您的敵人明顯地較快。按 Y 繼續或 N 去選擇其他難度。
"Your enemies have 20% more health, are extremely aggressive, and inflict more damage.  Press Y if you can take it!",EXTREMELYHARDSELECT,,,,"Враги имеют на 20% больше здоровья, чрезвычайно агрессивны и наносят больше урона. Нажмите Y, если вы готовы взяться за это!","Tus enemigos tienen 20% más de vitalidad, son extremadamente agresivos e infligen más daño. ¡Presiona Y si lo puedes tomar!",,,,"I nemici hanno il 20% in più di vita, sono estremamente aggressivi e infliggono più danni. Premi Y se credi di farcela!",,あなたの敵はさらに20％健康が良く、極めて攻撃的で、そしてもっと多くのダメージを与えます。あなたがそれを取ることができるならばYを押してください！,"Твоите непријатели имаат 20% повеќе здравје, се екстремно агресивни, и нанесуваат уште повеќе штета. Притисни Y ако можеш да издржиш!",,,,您的敵人會有多20％血，極端粗暴，同更大殺傷力。應付得起就按 Y！
The monsters you will face came straight out of the depths of hell. You will learn to fear and respect what true terror is. Press Y to start your death wish.,NIGHTMARESELECT,,,,"Монстры, с которыми вы встретитесь, пришли прямо из глубин ада. Вы научитесь бояться и понимать, что такое настоящий ужас. Нажмите Y чтобы начать ваше желание смерти.",Los monstros que enfrentarás vienen directamente de las profundidas del infierno. Aprenderás a temer y respetar lo que el verdadero terror es. Presiona Y para empezar tu deseo de muerte.,,,,I mostri che affronterai vengono dritti dritti dalle viscere dell'inferno. Imparerai a temere e rispettare quello che è il vero terrore. Premi Y per abbracciare il tuo desiderio di morte.,,あなたが直面するモンスターは地獄の奥深くからまっすぐに出てきました。あなたは本当の恐怖が何であるかを恐れて尊重することを学ぶでしょう。あなたの死の願いを始めるためにYを押してください。,Чудовиштата со кои ќе се соочиш доаѓаат директно од длабочините на пеколот. Ќе научиш да се плашиш и да почитуваш тоа што е вистински терор. Притисни Y за да започнеш со твојата смртна желба.,,,,即將面臨的怪獸直接從地獄最深之處抽出。您會感受起恐懼同去尊重甚麼是真正畏懼。按 Y 開始您的死愿。
